Date;DL;UL;Ping
2018-03-22 09:10:55;196.44;12.44;21.738
2018-03-22 09:20:54;194.93;12.19;16.32
2018-03-22 09:30:53;193.61;12.22;18.007
2018-03-22 09:40:51;174.77;12.43;19.315
2018-03-22 09:50:50;186.61;12.35;19.627
2018-03-22 10:00:57;185.63;11.99;21.019
2018-03-22 10:10:48;186.19;12.33;19.385
2018-03-22 10:20:47;173.56;12.33;20.32
2018-03-22 10:30:45;187.44;12.48;21.486
2018-03-22 10:40:44;176.9;12.16;18.763
2018-03-22 10:50:43;191.79;12.43;19.249
2018-03-22 11:00:46;150.43;12.32;22.873
2018-03-22 11:10:40;177.95;12.47;20.892
2018-03-22 11:20:39;146.71;12.48;23.31
2018-03-22 11:30:38;134.64;12.26;22.906
2018-03-22 11:40:37;169.87;12.39;18.659
2018-03-22 11:50:37;181.3;12.21;17.176
2018-03-22 12:00:40;62.39;10.76;26.542
2018-03-22 12:10:34;170.45;12.14;20.598
2018-03-22 12:20:37;184.79;12.13;17.579
2018-03-22 12:30:33;132.54;12.3;19.216
2018-03-22 12:40:31;144.54;11.53;23.19
2018-03-22 12:50:28;174.76;12.08;17.721
2018-03-22 13:00:32;88.46;12.29;21.867
2018-03-22 13:10:29;120.31;12.11;20.119
2018-03-22 13:20:24;138.83;12.1;20.147
2018-03-22 13:30:22;97.62;12.38;27.909
2018-03-22 13:40:20;96.4;12.14;19.768
2018-03-22 13:50:20;88.56;12.2;21.473
2018-03-22 14:00:18;164.27;12.32;22.402
2018-03-22 14:10:16;153.99;12.19;17.057
2018-03-22 14:20:15;150.89;12.31;18.35
2018-03-22 14:30:14;145.48;12.4;22.003
2018-03-22 14:40:13;85.82;11.36;20.227
2018-03-22 14:50:11;153.57;12.41;19.067
2018-03-22 15:00:10;134.7;12.55;22.598
2018-03-22 15:10:12;23.37;12.26;35.239
2018-03-22 15:20:07;134.52;12.24;21.781
2018-03-22 15:30:05;83.75;12.43;19.001
2018-03-22 15:40:04;121.29;12.52;26.099
2018-03-22 15:50:03;124.11;12.34;22.841
2018-03-22 16:00:03;56.57;12.02;27.042
2018-03-22 16:10:01;161.85;12.38;20.077
2018-03-22 16:20:00;79.8;12.54;24.248
2018-03-22 16:29:58;158.4;12.49;21.683
2018-03-22 16:39:58;53.08;12.23;24.065
2018-03-22 16:49:57;67.92;12.13;25.031
2018-03-22 16:59:56;37.87;12.15;28.018
2018-03-22 17:09:54;157.44;12.34;20.069
2018-03-22 17:19:53;40.6;12.26;24.817
2018-03-22 17:29:54;50.36;12.44;30.297
2018-03-22 17:39:52;22.46;12.36;32.003
2018-03-22 17:49:50;38.92;12.35;30.011
2018-03-22 17:59:49;27.09;12.11;34.341
2018-03-22 18:09:46;14.34;11.66;22.085
2018-03-22 18:19:50;19.54;12.42;22.94
2018-03-22 18:29:52;23.79;11.86;27.4
2018-03-22 18:39:51;10.67;12.39;38.74
2018-03-22 18:49:51;21.47;12.26;48.151
2018-03-22 18:59:52;17.21;12.27;32.642
2018-03-22 19:09:54;18.81;12.22;46.589
2018-03-22 19:20:01;18.24;12.29;58.647
2018-03-22 19:29:59;10.02;11.86;61.668
2018-03-22 19:40:00;11.7;12.29;47.923
2018-03-22 19:50:02;9.72;12.27;43.46
2018-03-22 19:59:59;14.29;12.15;34.216
2018-03-22 20:10:00;16.54;12.15;42.768
2018-03-22 20:20:02;33.57;12.02;31.315
2018-03-22 20:30:04;16.48;12.36;48.999
